difficulty_level,level_name,feature_type,model,auc_mean,auc_std,auc_ci_low,auc_ci_high,mean_neg_dist_bio,n_unique_negatives
1,trivial_far,biophysical,lr,0.9487192363414831,0.011719407237869234,0.9277025225398448,0.9676604156535887,8.745420455932617,4894
1,trivial_far,biophysical,rf,0.9700617315437557,0.01169228650515952,0.9439540053719585,0.9836844607871232,8.745420455932617,4894
1,trivial_far,sequence,lr,0.9224982574247946,0.012880484681370425,0.8974061718461424,0.9411168432205368,8.745420455932617,4894
1,trivial_far,sequence,rf,0.9427950698107825,0.011689453411166423,0.9164956735981407,0.9577305069347977,8.745420455932617,4894
2,very_easy,biophysical,lr,0.878605673555587,0.015286972929590465,0.8529454333282409,0.8980940560096734,4.435229301452637,4886
2,very_easy,biophysical,rf,0.9244308928043116,0.014710065081193033,0.8973289334054063,0.9450160390428519,4.435229301452637,4886
2,very_easy,sequence,lr,0.8036346796181474,0.017181364517181663,0.773603254281724,0.8352471578050662,4.435229301452637,4886
2,very_easy,sequence,rf,0.9047306463118909,0.012958174214157667,0.8781446797215026,0.9211788733042994,4.435229301452637,4886
3,easy,biophysical,lr,0.822844530977265,0.0279480458672319,0.7764559764425853,0.8655481783914345,3.371901750564575,4891
3,easy,biophysical,rf,0.8753447349406539,0.02488839040301173,0.8278375593050604,0.9076819978255248,3.371901750564575,4891
3,easy,sequence,lr,0.7448208701249306,0.027123178466006172,0.6927160251202474,0.7863636748382817,3.371901750564575,4891
3,easy,sequence,rf,0.870114279067314,0.022304904559683075,0.8232456196364613,0.9019601048270856,3.371901750564575,4891
4,moderate_easy,biophysical,lr,0.7845463719138333,0.021915724846886447,0.7486890058168517,0.8252831037711752,2.669126033782959,4890
4,moderate_easy,biophysical,rf,0.8444211673464608,0.019286747258563393,0.8096811667730472,0.8774742343915828,2.669126033782959,4890
4,moderate_easy,sequence,lr,0.6844552794461787,0.023158141615123543,0.6492495397097918,0.7222440972477235,2.669126033782959,4890
4,moderate_easy,sequence,rf,0.8469013493079691,0.018245702372998707,0.8093590757518334,0.8756135111294852,2.669126033782959,4890
5,moderate_hard,biophysical,lr,0.720437400163399,0.01988150363878335,0.6827420004492314,0.7586300128343856,2.219510555267334,4889
5,moderate_hard,biophysical,rf,0.7844827920077749,0.019086651131680534,0.7548824465421234,0.8220929863828988,2.219510555267334,4889
5,moderate_hard,sequence,lr,0.6182038703881417,0.014965514698056298,0.6000090380162554,0.6466670368571221,2.219510555267334,4889
5,moderate_hard,sequence,rf,0.8013582404610214,0.015089533539067623,0.7769080596797983,0.8284462644423516,2.219510555267334,4889
6,hard,biophysical,lr,0.6891887334802718,0.017545755673909785,0.6561627248109781,0.7165067281253116,1.8654464483261108,4890
6,hard,biophysical,rf,0.7518577357035606,0.023514127950280395,0.6977209417847478,0.7880599644934488,1.8654464483261108,4890
6,hard,sequence,lr,0.5781769769600466,0.01324480314889853,0.5507092660116009,0.5966281778503588,1.8654464483261108,4890
6,hard,sequence,rf,0.786811674630784,0.019758062825048116,0.7408578483837238,0.816093253271437,1.8654464483261108,4890
7,very_hard,biophysical,lr,0.675102042241766,0.017732947862993682,0.6430571242502737,0.7078121882713502,1.5229336023330688,4892
7,very_hard,biophysical,rf,0.7268141183664822,0.0181674820274101,0.7003218058373285,0.7648339841772874,1.5229336023330688,4892
7,very_hard,sequence,lr,0.5695778931294939,0.02051748719402302,0.530699570362808,0.5991948566694918,1.5229336023330688,4892
7,very_hard,sequence,rf,0.7653395714386579,0.01812799328261648,0.7391468807761273,0.7890982980740653,1.5229336023330688,4892
8,extreme,biophysical,lr,0.6810007185486259,0.011968718448793738,0.6591861830255356,0.7000678447752765,0.992091953754425,4888
8,extreme,biophysical,rf,0.7448991432246211,0.016240507786282287,0.7182284888076718,0.777579575180496,0.992091953754425,4888
8,extreme,sequence,lr,0.579460787504816,0.02204912387885544,0.5382913502390356,0.6078479015311993,0.992091953754425,4888
8,extreme,sequence,rf,0.7793539558605812,0.01688161521060179,0.7492640810816359,0.8048902867574553,0.992091953754425,4888
